fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-05-02,1659,165,1441,145,0.09945750452079566,0.10062456627342123
2021-05-03,7352,649,6239,571,0.0882752992383025,0.09152107709568841
2021-05-04,7177,605,6133,492,0.08429706005294692,0.08022175118212946
2021-05-05,7094,599,6075,506,0.08443755286157316,0.08329218106995885
2021-05-06,6668,537,5746,467,0.08053389322135573,0.08127392969021928
2021-05-07,6313,444,5479,377,0.07033106288610803,0.06880817667457566
2021-05-08,2192,172,1938,147,0.07846715328467153,0.07585139318885449
2021-05-09,1437,69,1232,62,0.04801670146137787,0.05032467532467533
2021-05-10,6024,493,5121,418,0.08183930942895086,0.08162468267916423
2021-05-11,7052,561,6012,478,0.07955190017016449,0.0795076513639388
2021-05-12,7524,598,6560,466,0.07947900053163211,0.07103658536585365
2021-05-13,7119,533,6103,427,0.0748700660205085,0.06996559069310175
2021-05-14,6808,504,5761,424,0.07403055229142186,0.07359833362263496
2021-05-15,2417,121,2002,112,0.050062060405461316,0.055944055944055944
2021-05-16,1471,81,1215,70,0.055064581917063225,0.05761316872427984
2021-05-17,7252,584,6279,469,0.08052950910093767,0.07469342251950947
2021-05-18,3711,291,3173,242,0.07841552142279709,0.07626851560037819
2021-05-19,7182,456,6154,384,0.06349206349206349,0.062398440038999026
2021-05-20,5860,330,5015,264,0.05631399317406143,0.052642073778664006
2021-05-21,5940,297,5202,272,0.05,0.05228758169934641
2021-05-22,2440,141,2119,105,0.05778688524590164,0.049551675318546484
2021-05-23,1320,82,1091,68,0.06212121212121212,0.06232813932172319
2021-05-24,6613,418,5503,328,0.06320883109027672,0.05960385244412139
2021-05-25,6930,466,5921,392,0.06724386724386724,0.06620503293362608
2021-05-26,6991,465,6069,390,0.06651408954369904,0.06426099851705389
2021-05-27,6415,415,5600,344,0.0646921278254092,0.06142857142857143
2021-05-28,6115,336,5342,310,0.054946852003270645,0.058030700112317486
2021-05-29,1821,116,1607,100,0.06370126304228446,0.06222775357809583
2021-05-30,1474,82,1236,66,0.05563093622795115,0.05339805825242718
2021-05-31,6440,488,5592,441,0.07577639751552795,0.078862660944206
2021-06-01,7306,476,6295,420,0.0651519299206132,0.06671961874503574
2021-06-02,6355,545,5506,474,0.08575924468922108,0.08608790410461314
2021-06-03,5707,376,5056,350,0.06588400210268092,0.06922468354430379
2021-06-04,5945,416,4996,347,0.06997476871320438,0.06945556445156124
2021-06-05,1616,166,1443,147,0.10272277227722772,0.10187110187110188
2021-06-06,1026,107,837,87,0.10428849902534112,0.1039426523297491
2021-06-07,6173,603,5371,536,0.09768346023003402,0.0997951964252467
2021-06-08,7260,677,6393,611,0.09325068870523416,0.09557328327858595
2021-06-09,6960,655,6075,601,0.09410919540229885,0.09893004115226338
2021-06-10,5791,490,5113,430,0.0846140562942497,0.08409935458634853
2021-06-11,5981,454,5150,411,0.0759070389566962,0.07980582524271845
2021-06-12,2179,249,1902,217,0.11427260211106012,0.11409043112513144
2021-06-13,1373,150,1135,127,0.10924981791697014,0.11189427312775331
2021-06-14,6452,728,5636,660,0.11283323000619963,0.11710432931156849
2021-06-15,6181,694,5327,611,0.11227956641320175,0.11469870471184532
